lyh	sci	fi	sv	en
ORIORI	Oriolus oriolus	kuhankeittäjä	sommargylling	Eurasian Golden Oriole
LANISA	Lanius isabellinus	punapyrstölepinkäinen	isabellatörnskata	Isabelline Shrike
LANCOL	Lanius collurio	pikkulepinkäinen	törnskata	Red-backed Shrike
LANMIN	Lanius minor	mustaotsalepinkäinen	svartpannad törnskata	Lesser Grey Shrike
LANEXC	Lanius excubitor	isolepinkäinen	varfågel	Great Grey Shrike
LANMER	Lanius meridionalis	etelänisolepinkäinen	ökenvarfågel	Southern Grey Shrike
LANSEN	Lanius senator	punapäälepinkäinen	rödhuvad törnskata	Woodchat Shrike
LANNUB	Lanius nubicus	valko-otsalepinkäinen	masktörnskata	Masked Shrike
GARGLA	Garrulus glandarius	närhi	nötskrika	Eurasian Jay
PERINF	Perisoreus infaustus	kuukkeli	lavskrika	Siberian Jay
PICPIC	Pica pica	harakka	skata	Common Magpie
NUCCAR	Nucifraga caryocatactes	pähkinähakki	nötkråka	Spotted Nutcracker
CORMON	Corvus monedula	naakka	kaja	Western Jackdaw
CORDAU	Corvus dauuricus	idännaakka	klippkaja	Daurian Jackdaw
CORFRU	Corvus frugilegus	mustavaris	råka	Rook
CORNIX	Corvus corone cornix	varis	kråka	Hooded Crow
CORRAX	Corvus corax	korppi	korp	Northern Raven
STUVUL	Sturnus vulgaris	kottarainen	stare	Common Starling
PASROS	Pastor roseus	punakottarainen	rosenstare	Rosy Starling
PASDOM	Passer domesticus	varpunen	gråsparv	House Sparrow
PASHIS	Passer hispaniolensis	pensasvarpunen	spansk sparv	Spanish Sparrow
PASMON	Passer montanus	pikkuvarpunen	pilfink	Eurasian Tree Sparrow
FRICOE	Fringilla coelebs	peippo	bofink	Common Chaffinch
FRIMON	Fringilla montifringilla	järripeippo	bergfink	Brambling
SERSER	Serinus serinus	keltahemppo	gulhämpling	European Serin
SERCIT	Serinus citrinella	sitruunahemppo	citronsiska	Citril Finch
CARCHL	Carduelis chloris	viherpeippo	grönfink	European Greenfinch
CARCAR	Carduelis carduelis	tikli	steglits	European Goldfinch
CARSPI	Carduelis spinus	vihervarpunen	grönsiska	Eurasian Siskin
CARCAN	Carduelis cannabina	hemppo	hämpling	Common Linnet
CARRIS	Carduelis flavirostris	vuorihemppo	vinterhämpling	Twite
CARMEA	Carduelis flammea	urpiainen	gråsiska	Common Redpoll
CARHOR	Carduelis hornemanni	tundraurpiainen	snösiska	Arctic Redpoll
LOXLEU	Loxia leucoptera	kirjosiipikäpylintu	bändelkorsnäbb	Two-barred Crossbill
LOXCUR	Loxia curvirostra	pikkukäpylintu	mindre korsnäbb	Red Crossbill
LOXPYT	Loxia pytyopsittacus	isokäpylintu	större korsnäbb	Parrot Crossbill
